ID,Recommenders ID,circular/reciprocal,circular_score,Position Influence Score,Nodal Influence Score,Final Influence Score
0,"[218, 391]",,0.0,,,
1,"[412, 869, 233, 289]",,0.0,,,
2,"[582, 624, 592, 662, 469]",,0.0,,,
3,"[194, 122]",194,0.5,,,
4,"[763, 726, 589, 977, 950, 543, 30]",,0.0,,,
5,"[938, 338, 417, 932, 16]",,0.0,,,
6,"[232, 390]",,0.0,,,
7,"[149, 366, 376]",149,0.3333333333333333,,,
8,"[171, 687, 159]",,0.0,,,
9,"[102, 851, 123, 794, 684]",,0.0,,,
10,"[962, 955, 481]",,0.0,,,
11,"[586, 970]",970,0.5,,,
12,"[10, 202]",,0.0,,,
13,"[786, 987]",,0.0,,,
14,[837],,0.0,,,
15,"[748, 511, 993, 963, 445, 751]",,0.0,,,
16,"[277, 565]",,0.0,,,
17,"[475, 614, 404, 506]",,0.0,,,
18,"[328, 750, 306]",,0.0,,,
19,"[278, 671]",,0.0,,,
20,"[772, 943]",,0.0,,,
21,[459],,0.0,,,
22,"[570, 390, 211]",,0.0,,,
23,"[575, 332, 456]",,0.0,,,
24,"[292, 839, 377]",,0.0,,,
25,[165],,0.0,,,
26,[60],,0.0,,,
27,"[138, 332, 684]",,0.0,,,
28,"[213, 296, 329, 72]",,0.0,,,
29,"[951, 388, 312]",,0.0,,,
30,"[430, 152, 332, 215, 643]",,0.0,,,
31,"[641, 86, 40, 401, 251, 364]",,0.0,,,
32,"[666, 366, 193, 849, 305]",,0.0,,,
33,"[580, 797]",,0.0,,,
34,[756],,0.0,,,
35,"[788, 686, 708, 678, 268, 919, 295]",295,0.1428571428571428,,,
36,"[197, 62]",,0.0,,,
37,"[405, 413, 466]",,0.0,,,
38,"[834, 668, 469]",469,0.3333333333333333,,,
39,"[336, 925]",,0.0,,,
40,"[508, 770, 967, 656]",,0.0,,,
41,"[961, 414, 246, 329, 273, 917]",961,0.1666666666666666,,,
42,"[933, 458, 272, 832, 93]",,0.0,,,
43,"[675, 367, 602, 536, 229, 131]",,0.0,,,
44,"[213, 163, 433, 28, 762]",,0.0,,,
45,[623],,0.0,,,
46,"[497, 315]",,0.0,,,
47,"[387, 33, 428, 497, 407]",,0.0,,,
48,[136],,0.0,,,
49,"[731, 932, 927]",,0.0,,,
50,"[774, 664, 877, 25]",,0.0,,,
51,"[636, 961]",,0.0,,,
52,[387],,0.0,,,
53,[956],,0.0,,,
54,"[828, 377, 379]",,0.0,,,
55,"[413, 187]",,0.0,,,
56,"[872, 792, 69, 901, 741]",,0.0,,,
57,"[795, 406, 461, 837]",,0.0,,,
58,"[20, 661, 852]",,0.0,,,
59,"[625, 422, 204, 240]",,0.0,,,
60,"[743, 518, 922, 724]",,0.0,,,
61,"[380, 492, 569]",,0.0,,,
62,"[518, 937, 507, 364]",,0.0,,,
63,"[921, 521, 486, 201]",,0.0,,,
64,"[700, 463]",,0.0,,,
65,"[799, 415, 914]",,0.0,,,
66,[430],,0.0,,,
67,"[590, 520, 495, 854, 979, 524]",,0.0,,,
68,"[739, 981, 945, 832, 459]",,0.0,,,
69,"[34, 792, 854, 594]",,0.0,,,
70,"[641, 587, 608, 512, 519]",,0.0,,,
71,[219],,0.0,,,
72,"[151, 41, 321, 241]",,0.0,,,
73,"[239, 738]",,0.0,,,
74,"[552, 918, 886, 236, 928]",,0.0,,,
75,"[505, 893]",,0.0,,,
76,"[119, 545, 114, 314]",,0.0,,,
77,"[780, 649, 87, 260]",,0.0,,,
78,"[795, 344, 916, 356, 936]",,0.0,,,
79,"[971, 789, 293]",,0.0,,,
80,"[420, 680]",,0.0,,,
81,"[402, 919, 201]",,0.0,,,
82,"[347, 875, 18, 117, 206, 798]",,0.0,,,
83,"[247, 693, 36]",693,0.3333333333333333,,,
84,"[185, 370]",,0.0,,,
85,,,,0.0,0.0,0.0
86,"[815, 774]",,0.0,,,
87,"[925, 161, 649]",,0.0,,,
88,"[177, 488, 473]",,0.0,,,
89,"[493, 125]",,0.0,,,
90,"[532, 238, 305]",,0.0,,,
91,,,,0.0,0.0,0.0
92,"[505, 629, 403, 497]",,0.0,,,
93,"[985, 90, 394]",,0.0,,,
94,"[938, 280, 729]",,0.0,,,
95,"[924, 243, 919, 352]",,0.0,,,
96,"[541, 895, 265, 74]",,0.0,,,
97,[200],,0.0,,,
98,"[511, 389]",,0.0,,,
99,"[819, 101, 324, 838, 882]",,0.0,,,
100,[424],,0.0,,,
101,"[318, 482, 24, 882]",,0.0,,,
102,"[177, 818]",,0.0,,,
103,"[857, 428]",,0.0,,,
104,[5],,0.0,,,
105,"[146, 641, 587, 621]",,0.0,,,
106,"[511, 839, 510, 45]",,0.0,,,
107,"[511, 24, 143, 15]",,0.0,,,
108,"[172, 563, 982]",,0.0,,,
109,"[617, 371, 587]",,0.0,,,
110,"[503, 21]",,0.0,,,
111,"[70, 605, 608, 555]",,0.0,,,
112,"[343, 242, 459]",,0.0,,,
113,"[340, 758, 829]",,0.0,,,
114,"[545, 731, 854]",,0.0,,,
115,"[385, 870, 274, 308, 799, 339, 38, 216, 125]",339,0.1111111111111111,,,
116,"[172, 319, 557, 149]",,0.0,,,
117,"[716, 552, 248, 114, 594]",,0.0,,,
118,"[395, 44, 144, 814, 599]",599,0.2,,,
119,"[730, 199, 425, 704, 183, 949]",,0.0,,,
120,"[787, 444]",,0.0,,,
121,"[465, 704, 220]",,0.0,,,
122,"[707, 54, 857, 650]",,0.0,,,
123,[706],,0.0,,,
124,"[163, 316, 329]",,0.0,,,
125,"[573, 208, 582]",208,0.3333333333333333,,,
126,"[780, 89]",,0.0,,,
127,"[763, 263, 615, 299, 246, 871, 259, 802]",,0.0,,,
128,"[335, 177, 706, 553, 289]",553,0.2,,,
129,"[703, 689, 445, 887]",,0.0,,,
130,"[83, 987, 251, 967]",,0.0,,,
131,"[59, 91]",,0.0,,,
132,,,,0.0,0.0,0.0
133,"[633, 708, 294, 438, 168, 562]",,0.0,,,
134,"[779, 320, 110, 829, 293]",,0.0,,,
135,"[138, 860]",,0.0,,,
136,"[906, 981]",,0.0,,,
137,"[342, 228, 589, 205, 497, 776, 887, 648]",,0.0,,,
138,"[335, 784, 442, 443, 902, 123, 544]",784,0.1428571428571428,,,
139,"[740, 907]",,0.0,,,
140,"[882, 156, 276]",,0.0,,,
141,,,,0.0,0.0,0.0
142,"[240, 832, 470]",,0.0,,,
143,"[879, 24, 174]",,0.0,,,
144,"[826, 362, 207, 326, 746]",,0.0,,,
145,[439],,0.0,,,
146,"[836, 897, 264]",,0.0,,,
147,"[28, 515, 917]",,0.0,,,
148,"[743, 608]",,0.0,,,
149,"[139, 26, 376, 7]",7,0.25,,,
150,[984],,0.0,,,
151,[163],,0.0,,,
152,[246],,0.0,,,
153,"[500, 887, 753]",,0.0,,,
154,"[200, 486, 35]",,0.0,,,
155,"[432, 762]",,0.0,,,
156,"[132, 286, 838, 333]",286,0.25,,,
157,"[151, 867, 781]",,0.0,,,
158,[493],,0.0,,,
159,"[995, 362]",,0.0,,,
160,"[888, 517, 23, 374, 413, 123]",,0.0,,,
161,"[840, 427, 717]",,0.0,,,
162,"[705, 29, 306]",,0.0,,,
163,"[890, 8, 878]",,0.0,,,
164,"[809, 851]",851,0.5,,,
165,"[221, 105, 699, 36, 877]",,0.0,,,
166,[296],,0.0,,,
167,"[890, 578, 383]",,0.0,,,
168,"[785, 398, 831, 813, 154]",813,0.2,,,
169,"[355, 837, 916]",,0.0,,,
170,"[604, 931, 178, 556]",,0.0,,,
171,[316],,0.0,,,
172,[394],,0.0,,,
173,"[867, 147, 822]",,0.0,,,
174,"[577, 998, 198, 24, 389, 513, 98, 445, 300, 753]",,0.0,,,
175,"[405, 138, 1, 9]",,0.0,,,
176,"[830, 719, 971, 293]",,0.0,,,
177,"[19, 859]",,0.0,,,
178,"[925, 873]",,0.0,,,
179,"[356, 354]",,0.0,,,
180,"[21, 305]",,0.0,,,
181,"[52, 726, 205, 137, 802, 887]",,0.0,,,
182,"[756, 728, 114, 306]",756,0.25,,,
183,"[875, 988, 114]",,0.0,,,
184,"[77, 134, 230]",,0.0,,,
185,"[72, 607]",,0.0,,,
186,"[431, 632, 458]",,0.0,,,
187,"[202, 372, 764]",,0.0,,,
188,,,,0.0,0.0,0.0
189,"[530, 333]",,0.0,,,
190,"[557, 532, 666, 343, 602, 691, 93, 526]",,0.0,,,
191,"[511, 963, 445, 143]",,0.0,,,
192,[325],,0.0,,,
193,"[58, 947, 394]",,0.0,,,
194,"[889, 3, 804, 796, 428]",3,0.2,,,
195,"[425, 742, 468, 117]",,0.0,,,
196,,,,0.0,0.0,0.0
197,"[247, 105, 605, 922, 25, 827]",,0.0,,,
198,"[697, 510]",,0.0,,,
199,[761],,0.0,,,
200,"[992, 960]",,0.0,,,
201,"[68, 896]",,0.0,,,
202,"[559, 610]",,0.0,,,
203,"[993, 510, 783]",,0.0,,,
204,"[619, 772, 302, 985]",302,0.25,,,
205,"[47, 629, 426]",,0.0,,,
206,"[162, 754, 467, 620]",467,0.25,,,
207,"[124, 84, 746]",,0.0,,,
208,"[344, 659, 125]",125,0.3333333333333333,,,
209,"[626, 188, 952, 153]",,0.0,,,
210,[770],,0.0,,,
211,,,,0.0,0.0,0.0
212,"[959, 10, 123]",,0.0,,,
213,"[254, 414, 598]",,0.0,,,
214,"[505, 403, 606, 381, 30]",,0.0,,,
215,"[735, 388, 183, 898, 880]",,0.0,,,
216,"[975, 890, 679]",,0.0,,,
217,"[909, 820, 214, 282, 407]",,0.0,,,
218,"[910, 321, 768, 538, 432]",,0.0,,,
219,"[193, 309]",,0.0,,,
220,"[162, 754, 898]",,0.0,,,
221,[373],,0.0,,,
222,"[105, 734, 40, 330, 25, 967]",,0.0,,,
223,"[674, 593]",593,0.5,,,
224,"[216, 115, 679]",,0.0,,,
225,"[740, 654, 576, 229, 458, 235]",,0.0,,,
226,[882],,0.0,,,
227,"[434, 467, 425, 520, 114]",,0.0,,,
228,"[771, 301]",,0.0,,,
229,"[514, 824, 235]",,0.0,,,
230,"[49, 971, 829]",,0.0,,,
231,,,,0.0,0.0,0.0
232,"[830, 649, 158]",,0.0,,,
233,"[499, 706, 712, 372]",,0.0,,,
234,"[449, 380, 392, 569]",,0.0,,,
235,"[654, 242, 891, 691]",,0.0,,,
236,"[425, 742, 979, 584]",,0.0,,,
237,"[598, 72]",,0.0,,,
238,"[619, 532, 458, 891]",,0.0,,,
239,"[688, 914, 683]",,0.0,,,
240,"[489, 602, 891, 309]",,0.0,,,
241,"[151, 163, 538, 484]",484,0.25,,,
242,"[422, 20, 933, 446, 7]",,0.0,,,
243,"[234, 810, 253, 644, 453, 464]",,0.0,,,
244,"[716, 750, 880]",,0.0,,,
245,"[706, 527, 472]",,0.0,,,
246,"[636, 583, 591, 28]",,0.0,,,
247,[699],,0.0,,,
248,"[34, 728, 584]",,0.0,,,
249,"[774, 498, 698, 827]",,0.0,,,
250,"[513, 72, 287]",,0.0,,,
251,"[148, 658]",,0.0,,,
252,[457],,0.0,,,
253,"[95, 831, 863, 616]",,0.0,,,
254,"[867, 777]",867,0.5,,,
255,"[267, 322]",322,0.5,,,
256,[606],,0.0,,,
257,"[102, 517, 706, 651, 860]",,0.0,,,
258,"[577, 626]",,0.0,,,
259,"[505, 820, 435]",,0.0,,,
260,"[474, 478, 638]",,0.0,,,
261,"[44, 583, 316, 416, 72, 484]",,0.0,,,
262,"[495, 560]",,0.0,,,
263,"[230, 540, 638]",,0.0,,,
264,"[247, 401]",,0.0,,,
265,"[421, 400, 82, 584]",,0.0,,,
266,"[660, 993, 292, 673, 258, 99]",,0.0,,,
267,[726],,0.0,,,
268,[486],,0.0,,,
269,"[75, 283, 407, 858]",,0.0,,,
270,"[945, 240, 142]",,0.0,,,
271,"[828, 634, 300]",,0.0,,,
272,"[654, 367, 59, 21, 90, 219]",,0.0,,,
273,"[218, 254, 147, 598, 173]",,0.0,,,
274,"[624, 881, 687]",,0.0,,,
275,"[216, 285, 759, 354]",,0.0,,,
276,"[882, 471]",,0.0,,,
277,[192],,0.0,,,
278,,,,0.0,0.0,0.0
279,"[735, 522, 227, 494]",735,0.25,,,
280,"[747, 178]",,0.0,,,
281,"[730, 248, 928, 677]",,0.0,,,
282,"[997, 797, 103, 652, 407]",,0.0,,,
283,"[342, 52, 217]",,0.0,,,
284,"[163, 814, 672, 326, 746]",326,0.2,,,
285,"[870, 485, 476, 674, 469]",,0.0,,,
286,"[976, 292, 324, 156]",156,0.25,,,
287,"[84, 72, 822, 687, 237]",,0.0,,,
288,"[722, 207]",,0.0,,,
289,"[807, 550]",,0.0,,,
290,"[118, 391, 515, 917]",,0.0,,,
291,"[108, 461, 153, 593]",,0.0,,,
292,"[828, 377, 667]",,0.0,,,
293,"[336, 938, 829, 16]",,0.0,,,
294,"[595, 737]",,0.0,,,
295,"[168, 846, 35]",35,0.3333333333333333,,,
296,[752],,0.0,,,
297,"[824, 238]",,0.0,,,
298,"[634, 198, 143, 751]",,0.0,,,
299,"[710, 572, 965]",,0.0,,,
300,"[132, 550, 714, 887]",,0.0,,,
301,"[66, 790, 255, 749]",,0.0,,,
302,"[270, 632, 772, 149, 204, 193]",204,0.1666666666666666,,,
303,"[422, 142]",,0.0,,,
304,"[770, 806, 461, 696, 469]",,0.0,,,
305,[238],,0.0,,,
306,"[495, 854, 898]",,0.0,,,
307,"[52, 426, 428, 676, 650]",,0.0,,,
308,"[803, 916, 876]",,0.0,,,
309,"[229, 891]",,0.0,,,
310,"[615, 533, 3, 301]",,0.0,,,
311,"[896, 678, 863]",,0.0,,,
312,"[434, 744, 421, 465, 767, 894]",,0.0,,,
313,"[179, 986, 982, 2, 73]",,0.0,,,
314,[680],,0.0,,,
315,"[568, 479, 327]",,0.0,,,
316,"[972, 687]",,0.0,,,
317,"[212, 405, 187, 610]",,0.0,,,
318,[998],,0.0,,,
319,"[740, 625, 343]",,0.0,,,
320,"[604, 263, 340, 192, 840, 731, 211]",,0.0,,,
321,"[477, 762]",,0.0,,,
322,"[496, 487, 431, 771, 33, 726, 54, 572, 463, 652, 122, 676, 255]",255,0.0769230769230769,,,
323,[618],,0.0,,,
324,"[132, 271, 663, 389, 298]",663,0.2,,,
325,"[931, 104]",,0.0,,,
326,"[284, 669]",284,0.5,,,
327,"[47, 909]",909,0.5,,,
328,"[988, 56]",,0.0,,,
329,"[51, 288, 290, 513, 515, 432]",,0.0,,,
330,"[373, 439, 922]",,0.0,,,
331,"[213, 118, 777, 44, 144, 386, 370, 159]",,0.0,,,
332,"[212, 853, 713, 289]",,0.0,,,
333,"[976, 292, 188, 107]",,0.0,,,
334,[108],,0.0,,,
335,"[212, 102, 12, 651, 713, 642]",,0.0,,,
336,[134],,0.0,,,
337,"[633, 558, 392, 737, 883]",883,0.2,,,
338,"[779, 192, 382, 89, 638, 556]",638,0.1666666666666666,,,
339,"[342, 304, 461, 115, 621, 408]",115,0.1666666666666666,,,
340,"[570, 938, 540]",,0.0,,,
341,"[836, 621, 920, 36]",,0.0,,,
342,"[710, 479]",,0.0,,,
343,"[907, 935]",,0.0,,,
344,[593],,0.0,,,
345,"[888, 610]",610,0.5,,,
346,[52],,0.0,,,
347,"[552, 918, 468, 760]",,0.0,,,
348,[463],,0.0,,,
349,[127],,0.0,,,
350,"[614, 445]",,0.0,,,
351,"[395, 155]",,0.0,,,
352,"[429, 168, 825, 757]",,0.0,,,
353,"[121, 701, 918]",,0.0,,,
354,"[974, 811, 73, 454]",,0.0,,,
355,"[38, 958, 406, 410, 415, 679, 837]",,0.0,,,
356,"[573, 803, 125, 905]",,0.0,,,
357,"[806, 275]",,0.0,,,
358,"[956, 982, 125]",,0.0,,,
359,"[866, 522, 494, 314]",,0.0,,,
360,[405],,0.0,,,
361,"[921, 896, 398, 133, 865, 295, 813, 141, 501]",,0.0,,,
362,[996],,0.0,,,
363,[461],,0.0,,,
364,[111],,0.0,,,
365,"[498, 588, 895]",,0.0,,,
366,"[68, 933, 682, 219, 91]",,0.0,,,
367,"[654, 242, 733, 628, 891]",,0.0,,,
368,[192],,0.0,,,
369,"[872, 818, 421]",,0.0,,,
370,"[284, 995, 477, 781, 432]",995,0.2,,,
371,"[693, 699, 954, 724]",,0.0,,,
372,"[807, 245, 472, 481]",807,0.25,,,
373,,,,0.0,0.0,0.0
374,"[800, 671, 9]",,0.0,,,
375,"[295, 97]",,0.0,,,
376,"[935, 142]",,0.0,,,
377,"[318, 129, 106, 506]",,0.0,,,
378,"[20, 601, 733]",,0.0,,,
379,"[557, 258, 838]",,0.0,,,
380,"[168, 361, 311, 85]",,0.0,,,
381,"[773, 430, 889, 152, 857, 950, 301, 259]",,0.0,,,
382,[230],,0.0,,,
383,[600],,0.0,,,
384,"[342, 346, 256]",,0.0,,,
385,"[817, 363, 223, 410]",,0.0,,,
386,"[151, 538]",,0.0,,,
387,"[763, 820, 256, 30]",,0.0,,,
388,[114],,0.0,,,
389,"[882, 506, 887]",,0.0,,,
390,"[873, 417]",,0.0,,,
391,[273],,0.0,,,
392,"[398, 855]",,0.0,,,
393,"[888, 713, 443, 642]",,0.0,,,
394,"[186, 536, 26, 725]",,0.0,,,
395,"[288, 432]",,0.0,,,
396,[413],,0.0,,,
397,"[223, 357, 847, 593]",847,0.25,,,
398,"[681, 647, 686, 402, 141, 833, 375, 35]",,0.0,,,
399,[957],,0.0,,,
400,[979],,0.0,,,
401,"[210, 512]",,0.0,,,
402,"[596, 863, 85]",,0.0,,,
403,"[431, 301]",,0.0,,,
404,"[769, 452, 848, 189]",,0.0,,,
405,"[586, 955, 859, 869]",,0.0,,,
406,[727],,0.0,,,
407,"[580, 310, 4, 194]",,0.0,,,
408,"[727, 38, 736]",,0.0,,,
409,"[888, 539, 123, 544, 764, 642]",,0.0,,,
410,"[274, 795, 568]",,0.0,,,
411,[212],,0.0,,,
412,"[539, 443]",,0.0,,,
413,"[948, 712, 970]",,0.0,,,
414,"[151, 867, 474, 578, 672, 72, 983]",,0.0,,,
415,"[688, 344, 956, 986, 53]",,0.0,,,
416,[640],,0.0,,,
417,[64],,0.0,,,
418,"[535, 317]",,0.0,,,
419,[254],,0.0,,,
420,"[77, 490, 230]",,0.0,,,
421,"[112, 483, 574]",,0.0,,,
422,"[186, 240, 136]",,0.0,,,
423,"[31, 709]",,0.0,,,
424,[64],,0.0,,,
425,"[121, 524]",,0.0,,,
426,"[676, 407, 802]",,0.0,,,
427,"[747, 638]",,0.0,,,
428,"[430, 152, 629, 381, 650, 497, 648]",,0.0,,,
429,"[801, 566]",,0.0,,,
430,"[804, 46]",,0.0,,,
431,"[964, 858]",,0.0,,,
432,"[995, 598]",,0.0,,,
433,"[609, 51, 246, 599, 241]",,0.0,,,
434,"[866, 121, 973, 760]",,0.0,,,
435,"[533, 977, 381]",,0.0,,,
436,"[508, 13, 525]",,0.0,,,
437,"[689, 692, 445]",,0.0,,,
438,"[805, 486, 861]",,0.0,,,
439,"[210, 460, 423, 165, 877, 364]",,0.0,,,
440,[614],,0.0,,,
441,"[521, 805]",,0.0,,,
442,[544],,0.0,,,
443,"[586, 349, 611, 553, 902, 37, 456]",,0.0,,,
444,[868],,0.0,,,
445,"[24, 991, 333]",,0.0,,,
446,"[149, 823, 309]",,0.0,,,
447,[883],,0.0,,,
448,"[539, 851]",,0.0,,,
449,"[921, 398, 133]",,0.0,,,
450,[905],905,1.0,,,
451,,,,0.0,0.0,0.0
452,"[934, 500]",,0.0,,,
453,[855],,0.0,,,
454,"[179, 450, 285, 410, 476]",,0.0,,,
455,"[346, 796, 92]",,0.0,,,
456,[19],,0.0,,,
457,"[952, 967, 899]",,0.0,,,
458,"[31, 229]",,0.0,,,
459,"[907, 725, 470]",,0.0,,,
460,"[922, 941]",,0.0,,,
461,[870],,0.0,,,
462,"[853, 448, 289]",,0.0,,,
463,"[104, 87, 159]",,0.0,,,
464,"[896, 402]",,0.0,,,
465,"[886, 314]",,0.0,,,
466,"[517, 523]",,0.0,,,
467,"[206, 244]",206,0.5,,,
468,"[465, 579, 880]",,0.0,,,
469,[38],38,1.0,,,
470,"[514, 655, 71, 272, 235]",,0.0,,,
471,[667],,0.0,,,
472,"[553, 88, 123]",,0.0,,,
473,"[212, 411]",,0.0,,,
474,,,,0.0,0.0,0.0
475,"[106, 191, 445, 452, 887]",,0.0,,,
476,"[765, 397]",,0.0,,,
477,"[414, 383]",,0.0,,,
478,[87],,0.0,,,
479,"[387, 52, 33, 75]",,0.0,,,
480,"[482, 101, 276]",,0.0,,,
481,"[793, 396, 175]",,0.0,,,
482,"[660, 689, 404, 692, 445, 45]",,0.0,,,
483,[425],,0.0,,,
484,[241],241,1.0,,,
485,[974],,0.0,,,
486,[558],,0.0,,,
487,"[629, 214]",,0.0,,,
488,"[443, 535, 472, 175]",,0.0,,,
489,"[571, 503]",,0.0,,,
490,"[340, 89, 16, 260, 874, 178]",,0.0,,,
491,"[994, 693, 709]",,0.0,,,
492,"[992, 253, 375]",,0.0,,,
493,"[100, 474, 926, 427, 931, 873, 556]",,0.0,,,
494,"[744, 206, 244]",,0.0,,,
495,"[328, 425, 522, 494, 798]",522,0.2,,,
496,[841],,0.0,,,
497,"[533, 572, 479]",,0.0,,,
498,"[109, 538, 555]",,0.0,,,
